name, size, width, height
I_GB_Diego_Garcia_l64.jpg,"(607, 955)",955,607
I_GB_Diego_Garcia_l8.jpg,"(607, 955)",955,607
I_GB_Peros_Banhos_l64.jpg,"(972, 926)",926,972
I_GB_Peros_Banhos_l8.jpg,"(972, 926)",926,972
I_GB_Saloman_l64.jpg,"(325, 293)",293,325
I_GB_Saloman_l8.jpg,"(325, 293)",293,325
I_IN_Bangaram_Atoll_l64.jpg,"(410, 284)",284,410
I_IN_Bangaram_Atoll_l8.jpg,"(410, 284)",284,410
I_IN_Kalpeni_Island_l64.jpg,"(202, 421)",421,202
I_IN_Kalpeni_Island_l8.jpg,"(202, 421)",421,202
I_IN_Minicoy_Island_l64.jpg,"(305, 277)",277,305
I_IN_Minicoy_Island_l8.jpg,"(305, 277)",277,305
I_MV_Maldives_Group_14_l64.jpg,"(319, 303)",303,319
I_MV_Maldives_Group_14_l8.jpg,"(319, 303)",303,319
I_MV_Maldives_Group_1_l64.jpg,"(335, 290)",290,335
I_MV_Maldives_Group_1_l8.jpg,"(335, 290)",290,335
I_MV_Maldives_Group_21_l64.jpg,"(1968, 1655)",1655,1968
I_MV_Maldives_Group_21_l8.jpg,"(1968, 1655)",1655,1968
I_MV_Maldives_Group_8_l64.jpg,"(142, 117)",117,142
I_MV_Maldives_Group_8_l8.jpg,"(142, 117)",117,142
I_MV_Maldives_Group_9_l64.jpg,"(630, 303)",303,630
I_MV_Maldives_Group_9_l8.jpg,"(630, 303)",303,630
I_SC_Aldabra_Atoll_l64.jpg,"(1288, 593)",593,1288
I_SC_Aldabra_Atoll_l8.jpg,"(1288, 593)",593,1288
P_CR_Ant_Atoll_l64.jpg,"(546, 448)",448,546
P_CR_Ant_Atoll_l8.jpg,"(546, 448)",448,546
P_CR_Ifalik_Atoll_l64.jpg,"(141, 104)",104,141
P_CR_Ifalik_Atoll_l8.jpg,"(141, 104)",104,141
P_CR_Murilo_Atoll_l64.jpg,"(1280, 927)",927,1280
P_CR_Murilo_Atoll_l8.jpg,"(1280, 927)",927,1280
P_CR_Namoluk_Atoll_l64.jpg,"(189, 159)",159,189
P_CR_Namoluk_Atoll_l8.jpg,"(189, 159)",159,189
P_CR_Nomwin_Atoll_l64.jpg,"(972, 763)",763,972
P_CR_Nomwin_Atoll_l8.jpg,"(972, 763)",763,972
P_CR_Pakin_Atoll_l64.jpg,"(309, 275)",275,309
P_CR_Pakin_Atoll_l8.jpg,"(309, 275)",275,309
P_CR_Ulithi_Atoll_l64.jpg,"(1040, 1355)",1355,1040
P_CR_Ulithi_Atoll_l8.jpg,"(1040, 1355)",1355,1040
P_CR_Woleai_Atoll_l64.jpg,"(405, 274)",274,405
P_CR_Woleai_Atoll_l8.jpg,"(405, 274)",274,405
P_FJ_Fulqana_l64.jpg,"(394, 367)",367,394
P_FJ_Fulqana_l8.jpg,"(394, 367)",367,394
P_FJ_Nggelelevu_Atoll_l64.jpg,"(941, 484)",484,941
P_FJ_Nggelelevu_Atoll_l8.jpg,"(941, 484)",484,941
P_FJ_Wailangilala_Atoll_l64.jpg,"(200, 289)",289,200
P_FJ_Wailangilala_Atoll_l8.jpg,"(200, 289)",289,200
P_FR_Beautemps_Beaupre_Atoll_l64.jpg,"(551, 539)",539,551
P_FR_Beautemps_Beaupre_Atoll_l8.jpg,"(551, 539)",539,551
P_FR_Nokanhui_Reef_l64.jpg,"(237, 229)",229,237
P_FR_Nokanhui_Reef_l8.jpg,"(237, 229)",229,237
P_FR_Ouvea_Atoll_l64.jpg,"(1988, 1450)",1450,1988
P_FR_Ouvea_Atoll_l8.jpg,"(1988, 1450)",1450,1988
P_GB_Nukapu_Atoll_l64.jpg,"(129, 99)",99,129
P_GB_Nukapu_Atoll_l8.jpg,"(129, 99)",99,129
P_GB_Nupani_Atoll_l64.jpg,"(235, 266)",266,235
P_GB_Nupani_Atoll_l8.jpg,"(235, 266)",266,235
P_ID_Dauwi_Island_l64.jpg,"(191, 240)",240,191
P_ID_Dauwi_Island_l8.jpg,"(191, 240)",240,191
P_ID_Kakaban_Atoll_l64.jpg,"(240, 194)",194,240
P_ID_Kakaban_Atoll_l8.jpg,"(240, 194)",194,240
P_ID_Mapia_Atoll_l64.jpg,"(267, 575)",575,267
P_ID_Mapia_Atoll_l8.jpg,"(267, 575)",575,267
P_ID_Maratua_Atoll_l64.jpg,"(750, 952)",952,750
P_ID_Maratua_Atoll_l8.jpg,"(750, 952)",952,750
P_ID_Nggasuang_l64.jpg,"(348, 514)",514,348
P_ID_Nggasuang_l8.jpg,"(348, 514)",514,348
P_ID_Noekori_Island_l64.jpg,"(615, 630)",630,615
P_ID_Noekori_Island_l8.jpg,"(615, 630)",630,615
P_ID_Pulau_Karompa_Lompa_l64.jpg,"(1244, 728)",728,1244
P_ID_Pulau_Karompa_Lompa_l8.jpg,"(1244, 728)",728,1244
P_ID_Pulau_Kokota_Atoll_l64.jpg,"(536, 352)",352,536
P_ID_Pulau_Kokota_Atoll_l8.jpg,"(536, 352)",352,536
P_ID_Pulau_Lentea_Atoll_l64.jpg,"(510, 572)",572,510
P_ID_Pulau_Lentea_Atoll_l8.jpg,"(510, 572)",572,510
P_ID_Pulau_Panggang_l64.jpg,"(85, 47)",47,85
P_ID_Pulau_Panggang_l8.jpg,"(85, 47)",47,85
P_ID_Pulau_Pei_Atoll_l64 (1).jpg,"(701, 554)",554,701
P_ID_Pulau_Pei_Atoll_l64.jpg,"(701, 554)",554,701
P_ID_Pulau_Pei_Atoll_l8.jpg,"(701, 554)",554,701
P_ID_Pulau_Sapuka_Islands_l64.jpg,"(403, 253)",253,403
P_ID_Pulau_Sapuka_Islands_l8.jpg,"(403, 253)",253,403
P_ID_Pulau_Sukar_Atoll_l64.jpg,"(526, 344)",344,526
P_ID_Pulau_Sukar_Atoll_l8.jpg,"(526, 344)",344,526
P_ID_Pulau_Urbabo_l64.jpg,"(686, 410)",410,686
P_ID_Pulau_Urbabo_l8.jpg,"(686, 410)",410,686
P_ID_Sabalana_Islands_l64.jpg,"(835, 572)",572,835
P_ID_Sabalana_Islands_l8.jpg,"(835, 572)",572,835
P_ID_Tiger_Atoll_l64.jpg,"(276, 109)",109,276
P_ID_Tiger_Atoll_l8.jpg,"(276, 109)",109,276
P_KI_Abaiang_Island_l64.jpg,"(1089, 1105)",1105,1089
P_KI_Abaiang_Island_l8.jpg,"(1089, 1105)",1105,1089
P_KI_Abemama_Atoll_l64.jpg,"(822, 851)",851,822
P_KI_Abemama_Atoll_l8.jpg,"(822, 851)",851,822
P_KI_Aranuka_Atoll_l64.jpg,"(598, 409)",409,598
P_KI_Aranuka_Atoll_l8.jpg,"(598, 409)",409,598
P_KI_Beru_Atoll_l64.jpg,"(498, 561)",561,498
P_KI_Beru_Atoll_l8.jpg,"(498, 561)",561,498
P_KI_Butaritari_Atoll_l64.jpg,"(1250, 1099)",1099,1250
P_KI_Butaritari_Atoll_l8.jpg,"(1250, 1099)",1099,1250
P_KI_Maiana_Atoll_l64.jpg,"(799, 853)",853,799
P_KI_Maiana_Atoll_l8.jpg,"(799, 853)",853,799
P_KI_Marakei_Atoll_l64.jpg,"(271, 392)",392,271
P_KI_Marakei_Atoll_l8.jpg,"(271, 392)",392,271
P_KI_Onotoa_Atoll_l64.jpg,"(513, 724)",724,513
P_KI_Onotoa_Atoll_l8.jpg,"(513, 724)",724,513
P_KI_Orona_Atoll_l64.jpg,"(384, 262)",262,384
P_KI_Orona_Atoll_l8.jpg,"(384, 262)",262,384
P_KI_Tarawa_Atoll_l64.jpg,"(1115, 1261)",1261,1115
P_KI_Tarawa_Atoll_l8.jpg,"(1115, 1261)",1261,1115
P_MH_Ailinginae_Atoll_l64.jpg,"(1367, 700)",700,1367
P_MH_Ailinginae_Atoll_l8.jpg,"(1367, 700)",700,1367
P_MH_Ailinglapalap_Atoll_l64.jpg,"(2039, 1627)",1627,2039
P_MH_Ailinglapalap_Atoll_l8.jpg,"(2039, 1627)",1627,2039
P_MH_Ailuk_Atoll_l64.jpg,"(980, 1343)",1343,980
P_MH_Ailuk_Atoll_l8.jpg,"(980, 1343)",1343,980
P_MH_Arno_Atoll_l64.jpg,"(2019, 1891)",1891,2019
P_MH_Arno_Atoll_l8.jpg,"(2019, 1891)",1891,2019
P_MH_Aur_Atoll_l64.jpg,"(970, 1341)",1341,970
P_MH_Aur_Atoll_l8.jpg,"(970, 1341)",1341,970
P_MH_Bikar_Atoll_l64.jpg,"(521, 607)",607,521
P_MH_Bikar_Atoll_l8.jpg,"(521, 607)",607,521
P_MH_Bikini_Island_l64.jpg,"(1836, 1338)",1338,1836
P_MH_Bikini_Island_l8.jpg,"(1836, 1338)",1338,1836
P_MH_Jaluit_Atoll_l64.jpg,"(1581, 2321)",2321,1581
P_MH_Jaluit_Atoll_l8.jpg,"(1581, 2321)",2321,1581
