name, size, width, height
A_BS_Cay_Sal_Bank_NIR.jpg,"(4032, 2948)",2948,4032
A_BS_Cay_Sal_Bank_RGB.jpg,"(4032, 2948)",2948,4032
A_BS_Cay_Sal_Bank_SSR.jpg,"(4032, 2948)",2948,4032
A_BS_Cay_Sal_Bank_SpecInd.jpg,"(4032, 2948)",2948,4032
A_BS_Hogsty_Reef_NIR.jpg,"(364, 211)",211,364
A_BS_Hogsty_Reef_RGB.jpg,"(364, 211)",211,364
A_BS_Hogsty_Reef_SSR.jpg,"(364, 211)",211,364
A_BS_Hogsty_Reef_SpecInd.jpg,"(364, 211)",211,364
A_BS_Mira-por-vos_Islets_NIR.jpg,"(590, 764)",764,590
A_BS_Mira-por-vos_Islets_RGB.jpg,"(590, 764)",764,590
A_BS_Mira-por-vos_Islets_SSR.jpg,"(590, 764)",764,590
A_BS_Mira-por-vos_Islets_SpecInd.jpg,"(590, 764)",764,590
A_BS_Nassau_Island_NIR.jpg,"(5744, 3896)",3896,5744
A_BS_Nassau_Island_RGB.jpg,"(5744, 3896)",3896,5744
A_BS_Nassau_Island_SSR.jpg,"(5744, 3896)",3896,5744
A_BS_Nassau_Island_SpecInd.jpg,"(5744, 3896)",3896,5744
A_BZ_Glovers Reef_NIR.jpg,"(886, 897)",897,886
A_BZ_Glovers Reef_RGB.jpg,"(886, 897)",897,886
A_BZ_Glovers Reef_SSR.jpg,"(886, 897)",897,886
A_BZ_Glovers Reef_SpecInd.jpg,"(886, 897)",897,886
A_BZ_Glovers_Reef_NIR.jpg,"(886, 897)",897,886
A_BZ_Glovers_Reef_RGB.jpg,"(886, 897)",897,886
A_BZ_Glovers_Reef_SSR.jpg,"(886, 897)",897,886
A_BZ_Glovers_Reef_SpecInd.jpg,"(886, 897)",897,886
A_BZ_Lighthouse_Reef_NIR.jpg,"(796, 1422)",1422,796
A_BZ_Lighthouse_Reef_RGB.jpg,"(796, 1422)",1422,796
A_BZ_Lighthouse_Reef_SSR.jpg,"(796, 1422)",1422,796
A_BZ_Lighthouse_Reef_SpecInd.jpg,"(796, 1422)",1422,796
A_BZ_Turneffe_Reef_NIR.jpg,"(1030, 1907)",1907,1030
A_BZ_Turneffe_Reef_RGB.jpg,"(1030, 1907)",1907,1030
A_BZ_Turneffe_Reef_SSR.jpg,"(1030, 1907)",1907,1030
A_BZ_Turneffe_Reef_SpecInd.jpg,"(1030, 1907)",1907,1030
A_CO_Albuquerque_Cays_NIR.jpg,"(332, 474)",474,332
A_CO_Albuquerque_Cays_RGB.jpg,"(332, 474)",474,332
A_CO_Albuquerque_Cays_SSR.jpg,"(332, 474)",474,332
A_CO_Albuquerque_Cays_SpecInd.jpg,"(332, 474)",474,332
A_CO_Courtown_Cays_NIR.jpg,"(333, 404)",404,333
A_CO_Courtown_Cays_RGB.jpg,"(333, 404)",404,333
A_CO_Courtown_Cays_SSR.jpg,"(333, 404)",404,333
A_CO_Courtown_Cays_SpecInd.jpg,"(333, 404)",404,333
A_DO_Cayo_Arena_NIR.jpg,"(17, 10)",10,17
A_DO_Cayo_Arena_RGB.jpg,"(17, 10)",10,17
A_DO_Cayo_Arena_SSR.jpg,"(17, 10)",10,17
A_DO_Cayo_Arena_SpecInd.jpg,"(17, 10)",10,17
A_HN_Becerro_Cay_NIR.jpg,"(276, 324)",324,276
A_HN_Becerro_Cay_RGB.jpg,"(276, 324)",324,276
A_HN_Becerro_Cay_SSR.jpg,"(276, 324)",324,276
A_HN_Becerro_Cay_SpecInd.jpg,"(276, 324)",324,276
A_HN_Caratasca_Cays_NIR.jpg,"(1127, 368)",368,1127
A_HN_Caratasca_Cays_RGB.jpg,"(1127, 368)",368,1127
A_HN_Caratasca_Cays_SSR.jpg,"(1127, 368)",368,1127
A_HN_Caratasca_Cays_SpecInd.jpg,"(1127, 368)",368,1127
A_JM_Albatross_Bank_NIR.jpg,"(511, 380)",380,511
A_JM_Albatross_Bank_RGB.jpg,"(511, 380)",380,511
A_JM_Albatross_Bank_SSR.jpg,"(511, 380)",380,511
A_JM_Albatross_Bank_SpecInd.jpg,"(511, 380)",380,511
A_JM_Morant_Cays_NIR.jpg,"(220, 210)",210,220
A_JM_Morant_Cays_RGB.jpg,"(220, 210)",210,220
A_JM_Morant_Cays_SSR.jpg,"(220, 210)",210,220
A_JM_Morant_Cays_SpecInd.jpg,"(220, 210)",210,220
A_JM_Pedro_Bank_NIR.jpg,"(5250, 3741)",3741,5250
A_JM_Pedro_Bank_RGB.jpg,"(5250, 3741)",3741,5250
A_JM_Pedro_Bank_SSR.jpg,"(5250, 3741)",3741,5250
A_JM_Pedro_Bank_SpecInd.jpg,"(5250, 3741)",3741,5250
A_MX_Arricife_Alacran_NIR.jpg,"(850, 870)",870,850
A_MX_Arricife_Alacran_RGB.jpg,"(850, 870)",870,850
A_MX_Arricife_Alacran_SSR.jpg,"(850, 870)",870,850
A_MX_Arricife_Alacran_SpecInd.jpg,"(850, 870)",870,850
A_MX_Chinchorro_Bank_NIR.jpg,"(888, 1624)",1624,888
A_MX_Chinchorro_Bank_RGB.jpg,"(888, 1624)",1624,888
A_MX_Chinchorro_Bank_SSR.jpg,"(888, 1624)",1624,888
A_MX_Chinchorro_Bank_SpecInd.jpg,"(888, 1624)",1624,888
A_VE_Aves_Island_NIR.jpg,"(27, 32)",32,27
A_VE_Aves_Island_RGB.jpg,"(27, 32)",32,27
A_VE_Aves_Island_SSR.jpg,"(27, 32)",32,27
A_VE_Aves_Island_SpecInd.jpg,"(27, 32)",32,27
I_AU_Ningaloo_Coast_NIR.jpg,"(9, 10)",10,9
I_AU_Ningaloo_Coast_RGB.jpg,"(9, 10)",10,9
I_AU_Ningaloo_Coast_SSR.jpg,"(9, 10)",10,9
I_AU_Ningaloo_Coast_SpecInd.jpg,"(9, 10)",10,9
I_FR_Mayotte_Island_NIR.jpg,"(1494, 2058)",2058,1494
I_FR_Mayotte_Island_RGB.jpg,"(1494, 2058)",2058,1494
I_FR_Mayotte_Island_SSR.jpg,"(1494, 2058)",2058,1494
I_FR_Mayotte_Island_SpecInd.jpg,"(1494, 2058)",2058,1494
I_GB_Blenheim_Reef_NIR.jpg,"(259, 401)",401,259
I_GB_Blenheim_Reef_RGB.jpg,"(259, 401)",401,259
I_GB_Blenheim_Reef_SSR.jpg,"(259, 401)",401,259
I_GB_Blenheim_Reef_SpecInd.jpg,"(259, 401)",401,259
